,0,0,0,0
,-0.0003,-0.0003,-50.4,-50.4
,-0.0003,-0.0006,-100.8,-100.8
,-0.0002,-0.0008,-134.4,-134.4
,0.0001,-0.0007,-117.6,-117.6
,-0.0002,-0.0009,-151.2,-151.2
,-0.0001,-0.001,-168,-168
,-0.0003,-0.0013,-218.4,-218.4
,0.0001,-0.0012,-201.6,-201.6
,0,-0.0012,-201.6,-201.6
,-0.0001,-0.0013,-218.4,-218.4
,0,-0.0013,-218.4,-218.4
,0,-0.0013,-218.4,-218.4
,-0.0003,-0.0016,-268.8,-268.8
,-0.0003,-0.0019,-319.2,-319.2
,0,-0.0019,-319.2,-319.2
,0,-0.0019,-319.2,-319.2
,0,-0.0019,-319.2,-319.2
,-0.0001,-0.002,-336,-336
,0.0001,-0.0019,-319.2,-319.2
,0.0004,-0.0015,-252,-252
,0.0003,-0.0012,-201.6,-201.6
,0.0004,-0.0008,-134.4,-134.4
,0,-0.0008,-134.4,-134.4
,0.0001,-0.0007,-117.6,-117.6
,1E-04,-0.0006,-100.8,-100.8
,0.0006,-1.21431E-17,-2.04003E-12,-2.04003E-12
,0,-1.21431E-17,-2.04003E-12,-2.04003E-12
,-0.0003,-0.0003,-50.4,-50.4
,-0.0002,-0.0005,-84,-84
,0.0004,-0.0001,-16.8,-16.8
,-0.0003,-0.0004,-67.2,-67.2
,0.0003,-0.0001,-16.8,-16.8
,-0.0001,-0.0002,-33.6,-33.6
,0.0003,1E-04,16.8,0
,-0.0003,-0.0002,-33.6,-50.4
,-0.0003,-0.0005,-84,-100.8
,-0.0003,-0.0008,-134.4,-151.2
,0,-0.0008,-134.4,-151.2
,-0.0003,-0.0011,-184.8,-201.6
,-1E-04,-0.0012,-201.6,-218.4
,-1E-04,-0.0013,-218.4,-235.2
,-0.0003,-0.0016,-268.8,-285.6
,0,-0.0016,-268.8,-285.6
,-0.0002,-0.0018,-302.4,-319.2
,0,-0.0018,-302.4,-319.2
,0,-0.0018,-302.4,-319.2
,0.0001,-0.0017,-285.6,-302.4
,-0.0003,-0.002,-336,-352.8
,0,-0.002,-336,-352.8
,0.0002,-0.0018,-302.4,-319.2
,0.0002,-0.0016,-268.8,-285.6
,0,-0.0016,-268.8,-285.6
,0,-0.0016,-268.8,-285.6
,-0.0003,-0.0019,-319.2,-336
,1E-04,-0.0018,-302.4,-319.2
,-0.0003,-0.0021,-352.8,-369.6
,0,-0.0021,-352.8,-369.6
,-0.0003,-0.0024,-403.2,-420
,-1E-04,-0.0025,-420,-436.8
,0,-0.0025,-420,-436.8
,0,-0.0025,-420,-436.8
,0,-0.0025,-420,-436.8
,1E-04,-0.0024,-403.2,-420
,-1E-04,-0.0025,-420,-436.8
,0.0002,-0.0023,-386.4,-403.2
,-0.0002,-0.0025,-420,-436.8
,0.0009,-0.0016,-268.8,-285.6
,-0.0002,-0.0018,-302.4,-319.2
,-0.0003,-0.0021,-352.8,-369.6
,-0.0003,-0.0024,-403.2,-420
,-0.0003,-0.0027,-453.6,-470.4
,-0.0001,-0.0028,-470.4,-487.2
,-1E-04,-0.0029,-487.2,-504
,0,-0.0029,-487.2,-504
,-1E-04,-0.003,-504,-520.8
,0,-0.003,-504,-520.8
,-0.0003,-0.0033,-554.4,-571.2
,-0.0003,-0.0036,-604.8,-621.6
,0,-0.0036,-604.8,-621.6
,0,-0.0036,-604.8,-621.6
,0.0003,-0.0033,-554.4,-571.2
,0,-0.0033,-554.4,-571.2
,0.0008,-0.0025,-420,-436.8
,-0.0003,-0.0028,-470.4,-487.2
,-0.0003,-0.0031,-520.8,-537.6
,-0.0003,-0.0034,-571.2,-588
,0,-0.0034,-571.2,-588
,0.0001,-0.0033,-554.4,-571.2
,0,-0.0033,-554.4,-571.2
,0,-0.0033,-554.4,-571.2
,0.0002,-0.0031,-520.8,-537.6
,0,-0.0031,-520.8,-537.6
,0.0003,-0.0028,-470.4,-487.2
,0.0003,-0.0025,-420,-436.8
,0.001,-0.0015,-252,-268.8
,0,-0.0015,-252,-268.8
,0.0002,-0.0013,-218.4,-235.2
,1E-04,-0.0012,-201.6,-218.4
,0.0003,-0.0009,-151.2,-168
,-0.0002,-0.0011,-184.8,-201.6
,0.0002,-0.0009,-151.2,-168
,0,-0.0009,-151.2,-168
,-0.0003,-0.0012,-201.6,-218.4
,0.0003,-0.0009,-151.2,-168
,0.0002,-0.0007,-117.6,-134.4
,-0.0003,-0.001,-168,-184.8
,0,-0.001,-168,-184.8
,-0.0001,-0.0011,-184.8,-201.6
,0.0003,-0.0008,-134.4,-151.2
,-0.0003,-0.0011,-184.8,-201.6
,-1E-04,-0.0012,-201.6,-218.4
,0.0001,-0.0011,-184.8,-201.6
,0.0002,-0.0009,-151.2,-168
,-0.0003,-0.0012,-201.6,-218.4
,0,-0.0012,-201.6,-218.4
,0.0001,-0.0011,-184.8,-201.6
,0,-0.0011,-184.8,-201.6
,-0.0003,-0.0014,-235.2,-252
,0,-0.0014,-235.2,-252
,0,-0.0014,-235.2,-252
,0,-0.0014,-235.2,-252
,0.0011,-0.0003,-50.4,-67.2
,-0.0003,-0.0006,-100.8,-117.6
,0,-0.0006,-100.8,-117.6
