Timestamp (UTC),Open,High,Low,Close,RB Jun23-Jul23 Calendar: Volume,RB Jun23-Jul23 Calendar: ATR ‌ATR‌ (14)
2023-01-10 12:00:00,0.0288,0.0288,0.0288,0.0288,5,4.631032978
2023-01-10 12:30:00,0.0299,0.0299,0.0299,0.0299,1,5.085959194
2023-01-10 12:45:00,0.0298,0.0299,0.0298,0.0299,3,4.794104966
2023-01-10 13:00:00,0.0301,0.0301,0.0292,0.0294,61,5.09452604
2023-01-10 13:15:00,0.0294,0.0294,0.0293,0.0293,7,4.802059894
2023-01-10 13:30:00,0.0299,0.0301,0.0299,0.0301,3,5.030484187
2023-01-10 13:45:00,0.0300,0.0301,0.0293,0.0296,102,5.24259246
2023-01-10 14:00:00,0.0299,0.0302,0.0296,0.0300,10,5.296692998
2023-01-10 14:15:00,0.0302,0.0302,0.0300,0.0301,3,5.061214927
2023-01-10 14:30:00,0.0301,0.0301,0.0297,0.0299,21,4.985413861
2023-01-10 14:45:00,0.0301,0.0305,0.0297,0.0304,33,5.200741442
2023-01-10 15:00:00,0.0306,0.0311,0.0305,0.0311,13,5.329259911
2023-01-10 15:15:00,0.0313,0.0315,0.0310,0.0314,30,5.305741346
2023-01-10 15:30:00,0.0314,0.0319,0.0314,0.0317,57,5.283902678
2023-01-10 15:45:00,0.0316,0.0319,0.0316,0.0319,8,5.120766772
2023-01-10 16:00:00,0.0320,0.0320,0.0318,0.0318,26,4.89785486
2023-01-10 16:15:00,0.0321,0.0322,0.0319,0.0320,18,4.83372237
2023-01-10 16:30:00,0.0317,0.0317,0.0315,0.0315,59,4.845599344
2023-01-10 16:45:00,0.0315,0.0318,0.0314,0.0317,93,4.785199391
2023-01-10 17:00:00,0.0317,0.0319,0.0316,0.0318,136,4.657685148
2023-01-10 17:15:00,0.0321,0.0321,0.0317,0.0317,69,4.610707638
2023-01-10 17:30:00,0.0317,0.0319,0.0317,0.0318,32,4.424228521
2023-01-10 17:45:00,0.0318,0.0322,0.0317,0.0320,68,4.465355055
2023-01-10 18:00:00,0.0320,0.0320,0.0319,0.0320,80,4.217829694
2023-01-10 18:15:00,0.0321,0.0333,0.0321,0.0328,51,4.845127573
2023-01-10 18:30:00,0.0330,0.0335,0.0329,0.0332,79,4.999047032
2023-01-10 18:45:00,0.0333,0.0335,0.0331,0.0335,15,4.92768653
2023-01-10 19:00:00,0.0336,0.0346,0.0335,0.0345,282,5.361423206
2023-01-10 19:15:00,0.0345,0.0347,0.0340,0.0342,1099,5.478464406
2023-01-10 19:30:00,0.0344,0.0354,0.0342,0.0352,295,5.944288377
2023-01-10 19:45:00,0.0351,0.0351,0.0348,0.0348,9,5.805410636
2023-01-10 20:00:00,0.0351,0.0351,0.0347,0.0347,36,5.676452733
2023-01-10 20:15:00,0.0349,0.0349,0.0349,0.0349,1,5.413848966
2023-01-10 20:45:00,0.0351,0.0351,0.0348,0.0348,11,5.241431183
2023-01-10 21:30:00,0.0342,0.0342,0.0342,0.0342,1,5.29561467
2023-01-11 07:30:00,0.0351,0.0353,0.0351,0.0353,3,5.703070765
2023-01-11 08:00:00,0.0355,0.0355,0.0355,0.0355,1,5.43856571
2023-01-11 08:15:00,0.0358,0.0358,0.0358,0.0358,1,5.264382445
2023-01-11 08:30:00,0.0357,0.0359,0.0357,0.0359,7,5.031212271
2023-01-11 08:45:00,0.0358,0.0361,0.0358,0.0359,3,4.88612568
2023-01-11 09:00:00,0.0357,0.0359,0.0357,0.0359,3,4.679973846
2023-01-11 09:15:00,0.0363,0.0364,0.0363,0.0364,4,4.702832857
2023-01-11 09:30:00,0.0362,0.0366,0.0362,0.0366,4,4.65263051
2023-01-11 09:45:00,0.0367,0.0367,0.0366,0.0366,2,4.39172833
2023-01-11 10:00:00,0.0368,0.0368,0.0368,0.0368,1,4.220890593
2023-01-11 10:15:00,0.0368,0.0369,0.0362,0.0369,14,4.419398407
2023-01-11 10:45:00,0.0375,0.0375,0.0375,0.0375,1,4.532298521
2023-01-11 11:45:00,0.0376,0.0376,0.0375,0.0376,3,4.279991484
2023-01-11 12:00:00,0.0376,0.0381,0.0375,0.0381,32,4.402849235
2023-01-11 12:15:00,0.0377,0.0380,0.0375,0.0378,14,4.516931433
2023-01-11 12:45:00,0.0379,0.0379,0.0379,0.0379,2,4.265722045
2023-01-11 13:00:00,0.0380,0.0392,0.0377,0.0392,36,5.032456184
2023-01-11 13:15:00,0.0388,0.0388,0.0382,0.0384,13,5.387280742
2023-01-11 13:30:00,0.0383,0.0383,0.0379,0.0379,39,5.359617832
2023-01-11 13:45:00,0.0378,0.0384,0.0376,0.0378,32,5.548216559
2023-01-11 14:00:00,0.0379,0.0388,0.0377,0.0383,90,5.937629662
2023-01-11 14:15:00,0.0383,0.0386,0.0383,0.0385,10,5.727798971
